"Entidades","Junio 26","Entidades","Junio 26"
"Aguascalientes","0","Morelos","2"
"Baja California","5","Nayarit","0"
"","","Nuevo León","2"
"Baja California Sur","1","",""
"","","Oaxaca","6"
"Campeche","0","",""
"","","Puebla","1"
"Chiapas","0","",""
"","","Querétaro","0"
"Chihuahua","2","",""
"","","Quintana Roo","1"
"Ciudad de México","5","",""
"","","San Luis Potosí","0"
"Coahuila","1","",""
"","","Sinaloa","2"
"Colima","3","",""
"","","Sonora","4"
"Durango","0","",""
"","","Tabasco","2"
"Estado de México","3","",""
"","","Tamaulipas","0"
"Guanajuato","11","",""
"","","Tlaxcala","1"
"Guerrero","3","",""
"","","Veracruz","3"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","2","",""
"","","Zacatecas","17"
"Michoacán","6","",""
"","","Total","83"
