"Entidades","Agosto 19","Entidades","Agosto 19"
"Aguascalientes","0","Morelos","2"
"Baja California","4","Nayarit","0"
"","","Nuevo León","2"
"Baja California Sur","0","",""
"","","Oaxaca","5"
"Campeche","0","",""
"","","Puebla","1"
"Chiapas","3","",""
"","","Querétaro","0"
"Chihuahua","8","",""
"","","Quintana Roo","2"
"Ciudad de México","0","",""
"","","San Luis Potosí","2"
"Coahuila","0","",""
"","","Sinaloa","3"
"Colima","0","",""
"","","Sonora","0"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","6","",""
"","","Tamaulipas","9"
"Guanajuato","12","",""
"","","Tlaxcala","0"
"Guerrero","1","",""
"","","Veracruz","5"
"Hidalgo","2","",""
"","","Yucatán","0"
"Jalisco","6","",""
"","","Zacatecas","2"
"Michoacán","6","",""
"","","Total","81"
