"Entidades","Septiembre 02","Entidades","Septiembre 02"
"Aguascalientes","0","Morelos","0"
"Baja California","5","Nayarit","0"
"","","Nuevo León","3"
"Baja California Sur","0","",""
"","","Oaxaca","0"
"Campeche","0","",""
"","","Puebla","1"
"Chiapas","0","",""
"","","Querétaro","0"
"Chihuahua","12","",""
"","","Quintana Roo","1"
"Ciudad de México","2","",""
"","","San Luis Potosí","1"
"Coahuila","2","",""
"","","Sinaloa","5"
"Colima","1","",""
"","","Sonora","2"
"Durango","1","",""
"","","Tabasco","1"
"Estado de México","2","",""
"","","Tamaulipas","2"
"Guanajuato","6","",""
"","","Tlaxcala","0"
"Guerrero","4","",""
"","","Veracruz","5"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","4","",""
"","","Zacatecas","6"
"Michoacán","3","",""
"","","Total","69"
