"Entidades","Mayo 16","Entidades","Mayo 16"
"Aguascalientes","1","Morelos","4"
"Baja California","2","Nayarit","0"
"","","Nuevo León","2"
"Baja California Sur","0","",""
"","","Oaxaca","0"
"Campeche","0","",""
"","","Puebla","2"
"Chiapas","1","",""
"","","Querétaro","0"
"Chihuahua","4","",""
"","","Quintana Roo","3"
"Ciudad de México","5","",""
"","","San Luis Potosí","4"
"Coahuila","0","",""
"","","Sinaloa","13"
"Colima","2","",""
"","","Sonora","7"
"Durango","1","",""
"","","Tabasco","0"
"Estado de México","10","",""
"","","Tamaulipas","3"
"Guanajuato","13","",""
"","","Tlaxcala","0"
"Guerrero","1","",""
"","","Veracruz","0"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","5","",""
"","","Zacatecas","4"
"Michoacán","5","",""
"","","Total","93"
