"Entidades","Agosto 03","Entidades","Agosto 03"
"Aguascalientes","0","Morelos","2"
"Baja California","3","Nayarit","0"
"","","Nuevo León","0"
"Baja California Sur","0","",""
"","","Oaxaca","7"
"Campeche","0","",""
"","","Puebla","7"
"Chiapas","1","",""
"","","Querétaro","0"
"Chihuahua","4","",""
"","","Quintana Roo","3"
"Ciudad de México","2","",""
"","","San Luis Potosí","0"
"Coahuila","1","",""
"","","Sinaloa","2"
"Colima","1","",""
"","","Sonora","3"
"Durango","1","",""
"","","Tabasco","1"
"Estado de México","7","",""
"","","Tamaulipas","1"
"Guanajuato","10","",""
"","","Tlaxcala","0"
"Guerrero","5","",""
"","","Veracruz","1"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","5","",""
"","","Zacatecas","4"
"Michoacán","4","",""
"","","Total","75"
