"Entidades","Septiembre 07","Entidades","Septiembre 07"
"Aguascalientes","0","Morelos","2"
"Baja California","4","Nayarit","0"
"Baja California Sur","0","Nuevo León","3"
"Campeche","0","Oaxaca","3"
"Chiapas","1","Puebla","3"
"Chihuahua","5","Querétaro","1"
"Ciudad de México","1","Quintana Roo","2"
"Coahuila","1","San Luis Potosí","0"
"Colima","0","Sinaloa","3"
"Durango","0","Sonora","3"
"Estado de México","4","Tabasco","1"
"Guanajuato","5","Tamaulipas","3"
"Guerrero","0","Tlaxcala","0"
"Hidalgo","0","Veracruz","3"
"Jalisco","7","Yucatán","0"
"Michoacán","5","Zacatecas","4"
