"Entidades","Mayo 21","Entidades","Mayo 21"
"Aguascalientes","1","Morelos","7"
"Baja California","6","Nayarit","0"
"","","Nuevo León","1"
"Baja California Sur","0","",""
"","","Oaxaca","1"
"Campeche","0","",""
"","","Puebla","1"
"Chiapas","1","",""
"","","Querétaro","0"
"Chihuahua","6","",""
"","","Quintana Roo","0"
"Ciudad de México","2","",""
"","","San Luis Potosí","1"
"Coahuila","1","",""
"","","Sinaloa","0"
"Colima","3","",""
"","","Sonora","0"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","6","",""
"","","Tamaulipas","0"
"Guanajuato","10","",""
"","","Tlaxcala","0"
"Guerrero","6","",""
"","","Veracruz","3"
"Hidalgo","1","",""
"","","Yucatán","0"
"Jalisco","7","",""
"","","Zacatecas","1"
"Michoacán","3","",""
"","","Total","68"
