"Entidades","Agosto 08","Entidades","Agosto 08"
"Aguascalientes","0","Morelos","3"
"Baja California","8","Nayarit","0"
"Baja California Sur","0","Nuevo León","3"
"Campeche","2","Oaxaca","1"
"Chiapas","0","Puebla","2"
"","","Querétaro","0"
"Chihuahua","3","",""
"","","Quintana Roo","0"
"Ciudad de México","3","",""
"","","San Luis Potosí","1"
"Coahuila","0","",""
"","","Sinaloa","2"
"Colima","1","",""
"","","Sonora","0"
"Durango","2","",""
"","","Tabasco","3"
"Estado de México","2","",""
"","","Tamaulipas","2"
"Guanajuato","8","",""
"","","Tlaxcala","0"
"Guerrero","0","",""
"","","Veracruz","4"
"Hidalgo","3","",""
"","","Yucatán","0"
"Jalisco","4","",""
"","","Zacatecas","2"
"Michoacán","7","",""
"","","Total","66"
