"Entidades","Abril 30","Entidades","Abril 30"
"Aguascalientes","0","Morelos","0"
"Baja California","7","Nayarit","0"
"","","Nuevo León","1"
"Baja California Sur","0","",""
"","","Oaxaca","3"
"Campeche","0","",""
"","","Puebla","0"
"Chiapas","2","",""
"","","Querétaro","0"
"Chihuahua","10","",""
"","","Quintana Roo","0"
"Ciudad de México","4","",""
"","","San Luis Potosí","0"
"Coahuila","0","",""
"","","Sinaloa","3"
"Colima","3","",""
"","","Sonora","2"
"Durango","0","",""
"","","Tabasco","0"
"Estado de México","11","",""
"","","Tamaulipas","0"
"Guanajuato","18","",""
"","","Tlaxcala","0"
"Guerrero","1","",""
"","","Veracruz","1"
"Hidalgo","0","",""
"","","Yucatán","0"
"Jalisco","6","",""
"","","Zacatecas","1"
"Michoacán","2","",""
"","","Total","75"
