"Defunciones por homicidios"
"Año de ocurrencia : 2019"
"Mes de ocurrencia : Septiembre"
""
"Consulta de: Defunciones por homicidio   Por: Año de registro   Según: Ent y mun de ocurrencia"
"","Total","Aguascalientes","Baja California","Baja California Sur","Campeche","Coahuila de Zaragoza","Colima","Chiapas","Chihuahua","Ciudad de México","Durango","Guanajuato","Guerrero","Hidalgo","Jalisco","México","Michoacán de Ocampo","Morelos","Nayarit","Nuevo León","Oaxaca","Puebla","Querétaro","Quintana Roo","San Luis Potosí","Sinaloa","Sonora","Tabasco","Tamaulipas","Tlaxcala","Veracruz de Ignacio de la Llave","Yucatán","Zacatecas","No especificado",""
"2019","2,902","12","214","7","4","18","62","56","196","110","12","312","99","42","199","254","243","101","12","82","75","95","21","54","45","104","113","56","70","20","105","6","52","51"

"FUENTE: INEGI. Estadísticas de mortalidad."
