"Defunciones por homicidios"
"Año de ocurrencia : 2019"
"Mes de ocurrencia : Octubre"
""
"Consulta de: Defunciones por homicidio   Por: Año de registro   Según: Ent y mun de ocurrencia"
"","Total","Aguascalientes","Baja California","Baja California Sur","Campeche","Coahuila de Zaragoza","Colima","Chiapas","Chihuahua","Ciudad de México","Durango","Guanajuato","Guerrero","Hidalgo","Jalisco","México","Michoacán de Ocampo","Morelos","Nayarit","Nuevo León","Oaxaca","Puebla","Querétaro","Quintana Roo","San Luis Potosí","Sinaloa","Sonora","Tabasco","Tamaulipas","Tlaxcala","Veracruz de Ignacio de la Llave","Yucatán","Zacatecas","No especificado",""
"2019","2,929","15","216","5","10","15","41","32","214","92","13","338","174","40","174","236","220","96","16","74","106","98","11","65","39","92","158","64","80","13","93","1","52","36"

"FUENTE: INEGI. Estadísticas de mortalidad."
