"Defunciones por homicidios"
"Año de ocurrencia : 2019"
"Mes de ocurrencia : Julio"
""
"Consulta de: Defunciones por homicidio   Por: Año de registro   Según: Ent y mun de ocurrencia"
"","Total","Aguascalientes","Baja California","Baja California Sur","Campeche","Coahuila de Zaragoza","Colima","Chiapas","Chihuahua","Ciudad de México","Durango","Guanajuato","Guerrero","Hidalgo","Jalisco","México","Michoacán de Ocampo","Morelos","Nayarit","Nuevo León","Oaxaca","Puebla","Querétaro","Quintana Roo","San Luis Potosí","Sinaloa","Sonora","Tabasco","Tamaulipas","Tlaxcala","Veracruz de Ignacio de la Llave","Yucatán","Zacatecas","No especificado",""
"2019","3,065","8","276","4","7","20","63","46","226","93","21","278","177","38","200","279","198","71","17","79","104","118","22","66","37","131","121","45","87","11","115","3","51","53"

"FUENTE: INEGI. Estadísticas de mortalidad."
