"Defunciones por homicidios"
"Año de ocurrencia : 2019"
"Mes de ocurrencia : Noviembre"
""
"Consulta de: Defunciones por homicidio   Por: Año de registro   Según: Ent y mun de ocurrencia"
"","Total","Aguascalientes","Baja California","Baja California Sur","Campeche","Coahuila de Zaragoza","Colima","Chiapas","Chihuahua","Ciudad de México","Durango","Guanajuato","Guerrero","Hidalgo","Jalisco","México","Michoacán de Ocampo","Morelos","Nayarit","Nuevo León","Oaxaca","Puebla","Querétaro","Quintana Roo","San Luis Potosí","Sinaloa","Sonora","Tabasco","Tamaulipas","Tlaxcala","Veracruz de Ignacio de la Llave","Yucatán","Zacatecas","No especificado",""
"2019","2,941","8","207","5","5","23","70","60","227","114","10","372","153","30","181","290","176","91","12","61","85","81","15","47","46","98","151","53","63","12","88","2","61","44"

"FUENTE: INEGI. Estadísticas de mortalidad."
