"Defunciones por homicidios"
"Año de ocurrencia : 2019"
"Mes de ocurrencia : Diciembre"
""
"Consulta de: Defunciones por homicidio   Por: Año de registro   Según: Ent y mun de ocurrencia"
"","Total","Aguascalientes","Baja California","Baja California Sur","Campeche","Coahuila de Zaragoza","Colima","Chiapas","Chihuahua","Ciudad de México","Durango","Guanajuato","Guerrero","Hidalgo","Jalisco","México","Michoacán de Ocampo","Morelos","Nayarit","Nuevo León","Oaxaca","Puebla","Querétaro","Quintana Roo","San Luis Potosí","Sinaloa","Sonora","Tabasco","Tamaulipas","Tlaxcala","Veracruz de Ignacio de la Llave","Yucatán","Zacatecas","No especificado",""
"2019","2,725","8","134","2","9","17","49","65","158","132","15","348","154","45","149","278","194","69","14","73","103","96","16","59","45","75","133","38","52","17","76","3","61","38"

"FUENTE: INEGI. Estadísticas de mortalidad."
