Entidad,Homicidios,Fecha
Oaxaca,1.0,2020-02-06
Puebla,0.0,2020-02-06
Querétaro,0.0,2020-02-06
Quintana Roo,2.0,2020-02-06
San Luis Potosí,0.0,2020-02-06
Sinaloa,1.0,2020-02-06
Sonora,3.0,2020-02-06
Tabasco,1.0,2020-02-06
Tamaulipas,1.0,2020-02-06
Tlaxcala,0.0,2020-02-06
Veracruz,3.0,2020-02-06
Yucatán,0.0,2020-02-06
Zacatecas,1.0,2020-02-06
Total,62.0,2020-02-06
Aguascalientes,0.0,2020-02-07
Baja California,7.0,2020-02-07
Baja California Sur,1.0,2020-02-07
Campeche,0.0,2020-02-07
Chiapas,0.0,2020-02-07
Chihuahua,3.0,2020-02-07
Ciudad de México,3.0,2020-02-07
Coahuila,0.0,2020-02-07
Colima,1.0,2020-02-07
Durango,0.0,2020-02-07
Estado de México,10.0,2020-02-07
Guanajuato,15.0,2020-02-07
Guerrero,3.0,2020-02-07
Hidalgo,0.0,2020-02-07
Jalisco,7.0,2020-02-07
Michoacán,5.0,2020-02-07
Morelos,1.0,2020-02-07
Nayarit,1.0,2020-02-07
Nuevo León,3.0,2020-02-07
Oaxaca,3.0,2020-02-07
Puebla,2.0,2020-02-07
Querétaro,1.0,2020-02-07
Quintana Roo,0.0,2020-02-07
San Luis Potosí,0.0,2020-02-07
Sinaloa,3.0,2020-02-07
Sonora,0.0,2020-02-07
Tabasco,3.0,2020-02-07
Tamaulipas,2.0,2020-02-07
Tlaxcala,0.0,2020-02-07
Veracruz,4.0,2020-02-07
Yucatán,0.0,2020-02-07
Zacatecas,3.0,2020-02-07
Total,81.0,2020-02-07
Aguascalientes,0.0,2020-02-08
Baja California,8.0,2020-02-08
Baja California Sur,0.0,2020-02-08
Campeche,0.0,2020-02-08
Chiapas,1.0,2020-02-08
Chihuahua,7.0,2020-02-08
Ciudad de México,3.0,2020-02-08
Coahuila,1.0,2020-02-08
Colima,0.0,2020-02-08
Durango,1.0,2020-02-08
Estado de México,11.0,2020-02-08
Guanajuato,16.0,2020-02-08
Guerrero,2.0,2020-02-08
Hidalgo,2.0,2020-02-08
Jalisco,7.0,2020-02-08
Michoacán,5.0,2020-02-08
Morelos,7.0,2020-02-08
Nayarit,0.0,2020-02-08
Nuevo León,2.0,2020-02-08
Oaxaca,1.0,2020-02-08
Puebla,1.0,2020-02-08
Querétaro,0.0,2020-02-08
Quintana Roo,2.0,2020-02-08
San Luis Potosí,0.0,2020-02-08
Sinaloa,1.0,2020-02-08
Sonora,5.0,2020-02-08
Tabasco,1.0,2020-02-08
Tamaulipas,1.0,2020-02-08
Tlaxcala,0.0,2020-02-08
Veracruz,6.0,2020-02-08
Yucatán,0.0,2020-02-08
Zacatecas,2.0,2020-02-08
Total,93.0,2020-02-08
Aguascalientes,0.0,2020-02-09
Baja California,5.0,2020-02-09
Baja California Sur,0.0,2020-02-09
Campeche,0.0,2020-02-09
Chiapas,0.0,2020-02-09
Chihuahua,3.0,2020-02-09
Ciudad de México,6.0,2020-02-09
Coahuila,1.0,2020-02-09
Colima,0.0,2020-02-09
Durango,0.0,2020-02-09
Estado de México,10.0,2020-02-09
Guanajuato,9.0,2020-02-09
Guerrero,4.0,2020-02-09
Hidalgo,0.0,2020-02-09
Jalisco,7.0,2020-02-09
Michoacán,3.0,2020-02-09
Morelos,1.0,2020-02-09
Nayarit,0.0,2020-02-09
Nuevo León,4.0,2020-02-09
Oaxaca,4.0,2020-02-09
Puebla,2.0,2020-02-09
Querétaro,2.0,2020-02-09
Quintana Roo,3.0,2020-02-09
San Luis Potosí,0.0,2020-02-09
Sinaloa,2.0,2020-02-09
Sonora,2.0,2020-02-09
Tabasco,3.0,2020-02-09
Tamaulipas,0.0,2020-02-09
Tlaxcala,1.0,2020-02-09
Veracruz,2.0,2020-02-09
Yucatán,0.0,2020-02-09
Zacatecas,1.0,2020-02-09
Total,75.0,2020-02-09
Aguascalientes,0.0,2020-02-10
Baja California,4.0,2020-02-10
Baja California Sur,0.0,2020-02-10
Campeche,1.0,2020-02-10
Chiapas,3.0,2020-02-10
Chihuahua,7.0,2020-02-10
Ciudad de México,1.0,2020-02-10
Coahuila,1.0,2020-02-10
Colima,2.0,2020-02-10
Durango,0.0,2020-02-10
Estado de México,11.0,2020-02-10
Guanajuato,3.0,2020-02-10
Guerrero,5.0,2020-02-10
Hidalgo,2.0,2020-02-10
Jalisco,4.0,2020-02-10
Michoacán,5.0,2020-02-10
Morelos,2.0,2020-02-10
Nayarit,0.0,2020-02-10
Nuevo León,1.0,2020-02-10
Oaxaca,0.0,2020-02-10
Puebla,2.0,2020-02-10
Querétaro,0.0,2020-02-10
Quintana Roo,2.0,2020-02-10
San Luis Potosí,1.0,2020-02-10
Sinaloa,1.0,2020-02-10
Sonora,1.0,2020-02-10
Tabasco,3.0,2020-02-10
Tamaulipas,6.0,2020-02-10
Tlaxcala,0.0,2020-02-10
Veracruz,8.0,2020-02-10
Yucatán,0.0,2020-02-10
Zacatecas,4.0,2020-02-10
Total,80.0,2020-02-10
Aguascalientes,0.0,2020-02-11
Baja California,3.0,2020-02-11
Baja California Sur,0.0,2020-02-11
Campeche,0.0,2020-02-11
Chiapas,0.0,2020-02-11
Chihuahua,4.0,2020-02-11
Ciudad de México,4.0,2020-02-11
Coahuila,0.0,2020-02-11
Colima,2.0,2020-02-11
Durango,1.0,2020-02-11
Estado de México,5.0,2020-02-11
Guanajuato,13.0,2020-02-11
Guerrero,2.0,2020-02-11
Hidalgo,1.0,2020-02-11
Jalisco,4.0,2020-02-11
Michoacán,12.0,2020-02-11
Morelos,3.0,2020-02-11
Nayarit,0.0,2020-02-11
Nuevo León,3.0,2020-02-11
Oaxaca,2.0,2020-02-11
Puebla,5.0,2020-02-11
Querétaro,0.0,2020-02-11
Quintana Roo,1.0,2020-02-11
San Luis Potosí,0.0,2020-02-11
Sinaloa,2.0,2020-02-11
Sonora,2.0,2020-02-11
Tabasco,2.0,2020-02-11
Tamaulipas,0.0,2020-02-11
Tlaxcala,1.0,2020-02-11
Veracruz,3.0,2020-02-11
Yucatán,0.0,2020-02-11
Zacatecas,3.0,2020-02-11
Total,78.0,2020-02-11
Aguascalientes,0.0,2020-02-12
Baja California,2.0,2020-02-12
Baja California Sur,0.0,2020-02-12
Campeche,0.0,2020-02-12
Chiapas,1.0,2020-02-12
Chihuahua,7.0,2020-02-12
Ciudad de México,7.0,2020-02-12
Coahuila,0.0,2020-02-12
Colima,0.0,2020-02-12
Durango,2.0,2020-02-12
Estado de México,4.0,2020-02-12
Guanajuato,9.0,2020-02-12
Guerrero,3.0,2020-02-12
Hidalgo,1.0,2020-02-12
Jalisco,8.0,2020-02-12
Michoacán,7.0,2020-02-12
Morelos,0.0,2020-02-12
Nayarit,1.0,2020-02-12
Nuevo León,1.0,2020-02-12
