Entidad,Homicidios,Fecha
Tlaxcala,0,2020-10-07
Veracruz,5,2020-10-07
Yucatán,1,2020-10-07
Zacatecas,8,2020-10-07
Baja California,4,2020-10-08
Baja California Sur,0,2020-10-08
Campeche,0,2020-10-08
Chiapas,0,2020-10-08
Chihuahua,0,2020-10-08
Ciudad de México,0,2020-10-08
Coahuila,0,2020-10-08
Colima,0,2020-10-08
Durango,1,2020-10-08
Estado de México,11,2020-10-08
Guanajuato,12,2020-10-08
Guerrero,5,2020-10-08
Hidalgo,1,2020-10-08
Jalisco,4,2020-10-08
Michoacán,2,2020-10-08
Nayarit,0,2020-10-08
Nuevo León,3,2020-10-08
Oaxaca,2,2020-10-08
Puebla,1,2020-10-08
Querétaro,0,2020-10-08
Quintana Roo,2,2020-10-08
San Luis Potosí,0,2020-10-08
Sinaloa,4,2020-10-08
Sonora,4,2020-10-08
Tabasco,2,2020-10-08
Tamaulipas,0,2020-10-08
Tlaxcala,0,2020-10-08
Veracruz,3,2020-10-08
Yucatán,0,2020-10-08
Zacatecas,3,2020-10-08
Baja California,4,2020-10-09
Baja California Sur,5,2020-10-09
Campeche,0,2020-10-09
Chiapas,1,2020-10-09
Chihuahua,7,2020-10-09
Ciudad de México,3,2020-10-09
Coahuila,1,2020-10-09
Colima,3,2020-10-09
Durango,0,2020-10-09
Estado de México,8,2020-10-09
Guanajuato,13,2020-10-09
Guerrero,2,2020-10-09
Hidalgo,0,2020-10-09
Jalisco,12,2020-10-09
Michoacán,5,2020-10-09
Nayarit,2,2020-10-09
Nuevo León,0,2020-10-09
Oaxaca,2,2020-10-09
Puebla,0,2020-10-09
Querétaro,0,2020-10-09
Quintana Roo,0,2020-10-09
San Luis Potosí,0,2020-10-09
Sinaloa,2,2020-10-09
Sonora,0,2020-10-09
Tabasco,2,2020-10-09
Tamaulipas,2,2020-10-09
Tlaxcala,0,2020-10-09
Veracruz,0,2020-10-09
Yucatán,0,2020-10-09
Zacatecas,1,2020-10-09
Baja California,3,2020-10-10
Baja California Sur,0,2020-10-10
Campeche,1,2020-10-10
Chiapas,3,2020-10-10
Chihuahua,3,2020-10-10
Ciudad de México,2,2020-10-10
Coahuila,1,2020-10-10
Colima,1,2020-10-10
Durango,0,2020-10-10
Estado de México,6,2020-10-10
Guanajuato,12,2020-10-10
Guerrero,5,2020-10-10
Hidalgo,0,2020-10-10
Jalisco,8,2020-10-10
Michoacán,3,2020-10-10
Nayarit,4,2020-10-10
Nuevo León,7,2020-10-10
Oaxaca,3,2020-10-10
Puebla,3,2020-10-10
Querétaro,0,2020-10-10
Quintana Roo,1,2020-10-10
San Luis Potosí,1,2020-10-10
Sinaloa,2,2020-10-10
Sonora,1,2020-10-10
Tabasco,1,2020-10-10
Tamaulipas,4,2020-10-10
Tlaxcala,0,2020-10-10
Veracruz,1,2020-10-10
Yucatán,0,2020-10-10
Zacatecas,0,2020-10-10
Baja California,3,2020-10-11
Baja California Sur,0,2020-10-11
Campeche,0,2020-10-11
Chiapas,0,2020-10-11
Chihuahua,6,2020-10-11
Ciudad de México,6,2020-10-11
Coahuila,0,2020-10-11
Colima,3,2020-10-11
Durango,0,2020-10-11
Estado de México,18,2020-10-11
Guanajuato,9,2020-10-11
Guerrero,3,2020-10-11
Hidalgo,0,2020-10-11
Jalisco,6,2020-10-11
Michoacán,8,2020-10-11
Nayarit,0,2020-10-11
Nuevo León,2,2020-10-11
Oaxaca,2,2020-10-11
Puebla,11,2020-10-11
Querétaro,3,2020-10-11
Quintana Roo,2,2020-10-11
San Luis Potosí,5,2020-10-11
Sinaloa,3,2020-10-11
Sonora,6,2020-10-11
Tabasco,6,2020-10-11
Tamaulipas,1,2020-10-11
Tlaxcala,0,2020-10-11
Veracruz,3,2020-10-11
Yucatán,1,2020-10-11
Zacatecas,3,2020-10-11
Baja California,6,2020-10-12
Baja California Sur,0,2020-10-12
Campeche,0,2020-10-12
Chiapas,1,2020-10-12
Chihuahua,1,2020-10-12
Ciudad de México,4,2020-10-12
Coahuila,0,2020-10-12
Colima,1,2020-10-12
Durango,2,2020-10-12
Estado de México,4,2020-10-12
Guanajuato,12,2020-10-12
Guerrero,2,2020-10-12
Hidalgo,1,2020-10-12
Jalisco,2,2020-10-12
Michoacán,10,2020-10-12
Nayarit,1,2020-10-12
Nuevo León,0,2020-10-12
Oaxaca,2,2020-10-12
Puebla,1,2020-10-12
Querétaro,0,2020-10-12
Quintana Roo,3,2020-10-12
San Luis Potosí,0,2020-10-12
Sinaloa,3,2020-10-12
Sonora,1,2020-10-12
Tabasco,1,2020-10-12
Tamaulipas,0,2020-10-12
Tlaxcala,0,2020-10-12
Veracruz,3,2020-10-12
Yucatán,1,2020-10-12
Zacatecas,14,2020-10-12
Baja California,5,2020-10-13
Baja California Sur,0,2020-10-13
Campeche,0,2020-10-13
Chiapas,2,2020-10-13
Chihuahua,6,2020-10-13
Ciudad de México,0,2020-10-13
Coahuila,2,2020-10-13
Colima,4,2020-10-13
Durango,0,2020-10-13
Estado de México,3,2020-10-13
Guanajuato,8,2020-10-13
Guerrero,8,2020-10-13
Hidalgo,1,2020-10-13
Jalisco,9,2020-10-13
Michoacán,8,2020-10-13
Nayarit,0,2020-10-13
Nuevo León,1,2020-10-13
Oaxaca,0,2020-10-13
Puebla,2,2020-10-13
Querétaro,0,2020-10-13
Quintana Roo,5,2020-10-13
San Luis Potosí,1,2020-10-13
Sinaloa,1,2020-10-13
Sonora,1,2020-10-13
Tabasco,0,2020-10-13
Tamaulipas,6,2020-10-13
Tlaxcala,0,2020-10-13
Veracruz,2,2020-10-13
Yucatán,0,2020-10-13
Zacatecas,1,2020-10-13
Baja California,7,2020-10-14
Baja California Sur,0,2020-10-14
Campeche,0,2020-10-14
Chiapas,0,2020-10-14
Chihuahua,4,2020-10-14
Ciudad de México,2,2020-10-14
Coahuila,1,2020-10-14
Colima,0,2020-10-14
Durango,1,2020-10-14
Estado de México,13,2020-10-14
Guanajuato,11,2020-10-14
Guerrero,6,2020-10-14
Hidalgo,1,2020-10-14
Jalisco,3,2020-10-14
Michoacán,3,2020-10-14
Nayarit,0,2020-10-14
Nuevo León,7,2020-10-14
Oaxaca,3,2020-10-14
Puebla,0,2020-10-14
Querétaro,0,2020-10-14
Quintana Roo,3,2020-10-14
San Luis Potosí,4,2020-10-14
Sinaloa,4,2020-10-14
Sonora,1,2020-10-14
Tabasco,0,2020-10-14
Tamaulipas,1,2020-10-14
Tlaxcala,0,2020-10-14
Veracruz,5,2020-10-14
Yucatán,0,2020-10-14
Zacatecas,7,2020-10-14
Baja California,8,2020-10-15
Baja California Sur,0,2020-10-15
Campeche,0,2020-10-15
Chiapas,0,2020-10-15
Chihuahua,4,2020-10-15
Ciudad de México,3,2020-10-15
Coahuila,0,2020-10-15
Colima,2,2020-10-15
Durango,0,2020-10-15
Estado de México,8,2020-10-15
Guanajuato,19,2020-10-15
Guerrero,3,2020-10-15
Hidalgo,0,2020-10-15
Jalisco,6,2020-10-15
Michoacán,12,2020-10-15
Nayarit,0,2020-10-15
Nuevo León,3,2020-10-15
Oaxaca,2,2020-10-15
Puebla,1,2020-10-15
Querétaro,2,2020-10-15
Quintana Roo,1,2020-10-15
San Luis Potosí,1,2020-10-15
Sinaloa,1,2020-10-15
Sonora,1,2020-10-15
Tabasco,1,2020-10-15
Tamaulipas,0,2020-10-15
Tlaxcala,0,2020-10-15
Veracruz,0,2020-10-15
Yucatán,0,2020-10-15
Zacatecas,2,2020-10-15
Baja California,1,2020-10-16
Baja California Sur,0,2020-10-16
Campeche,0,2020-10-16
Chiapas,3,2020-10-16
Chihuahua,3,2020-10-16
Ciudad de México,2,2020-10-16
Coahuila,0,2020-10-16
Colima,1,2020-10-16
Durango,0,2020-10-16
Estado de México,5,2020-10-16
Guanajuato,17,2020-10-16
Guerrero,3,2020-10-16
Hidalgo,3,2020-10-16
Jalisco,4,2020-10-16
Michoacán,3,2020-10-16
Nayarit,0,2020-10-16
Nuevo León,1,2020-10-16
Oaxaca,0,2020-10-16
Puebla,1,2020-10-16
Querétaro,0,2020-10-16
Quintana Roo,0,2020-10-16
San Luis Potosí,0,2020-10-16
Sinaloa,4,2020-10-16
Sonora,0,2020-10-16
Tabasco,0,2020-10-16
Tamaulipas,2,2020-10-16
Tlaxcala,0,2020-10-16
Veracruz,1,2020-10-16
Yucatán,0,2020-10-16
Zacatecas,3,2020-10-16
Baja California,2,2020-10-17
Baja California Sur,0,2020-10-17
Campeche,0,2020-10-17
Chiapas,3,2020-10-17
Chihuahua,4,2020-10-17
Ciudad de México,2,2020-10-17
Coahuila,2,2020-10-17
Colima,0,2020-10-17
Durango,0,2020-10-17
Estado de México,7,2020-10-17
Guanajuato,7,2020-10-17
Guerrero,5,2020-10-17
Hidalgo,1,2020-10-17
Jalisco,5,2020-10-17
Michoacán,9,2020-10-17
Nayarit,0,2020-10-17
Nuevo León,3,2020-10-17
Oaxaca,4,2020-10-17
Puebla,3,2020-10-17
Querétaro,0,2020-10-17
Quintana Roo,5,2020-10-17
San Luis Potosí,1,2020-10-17
Sinaloa,5,2020-10-17
Sonora,1,2020-10-17
Tabasco,1,2020-10-17
Tamaulipas,0,2020-10-17
Tlaxcala,0,2020-10-17
Veracruz,3,2020-10-17
Yucatán,0,2020-10-17
Zacatecas,2,2020-10-17
Baja California,3,2020-10-18
Baja California Sur,0,2020-10-18
Campeche,1,2020-10-18
Chiapas,3,2020-10-18
Chihuahua,13,2020-10-18
Ciudad de México,2,2020-10-18
