Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado
Baja California,Tijuana,4.0,3.0,1.0,0.0
Chiapas,Acapetahua,1.0,1.0,0.0,0.0
Chihuahua,Aldama,2.0,2.0,0.0,0.0
Chihuahua,Chihuahua,1.0,1.0,0.0,0.0
Chihuahua,Juárez,3.0,3.0,0.0,0.0
Ciudad de México,Iztapalapa,2.0,1.0,1.0,0.0
Ciudad de México,Miguel Hidalgo,3.0,1.0,1.0,1.0
Colima,Manzanillo,4.0,2.0,2.0,0.0
Guanajuato,"Apaseo el 
Grande",3.0,0.0,0.0,3.0
Guanajuato,Apaseo el Alto,3.0,3.0,0.0,0.0
Guanajuato,Celaya,3.0,0.0,0.0,3.0
Guanajuato,León,1.0,0.0,0.0,1.0
Guanajuato,"Purísima del 
Rincón",1.0,1.0,0.0,0.0
Guanajuato,"San Francisco 
del Rincón",2.0,2.0,0.0,0.0
Guanajuato,"Santiago 
Maravatío",2.0,1.0,1.0,0.0
Guanajuato,"Valle de 
Santiago",2.0,0.0,0.0,2.0
Guerrero,"Acapulco de 
Juárez",4.0,2.0,0.0,2.0
Guerrero,"Chilpancingo de 
los Bravo",3.0,3.0,0.0,0.0
Guerrero,"Zihuatanejo de 
Azueta",1.0,1.0,0.0,0.0
Hidalgo,El Arenal,2.0,0.0,0.0,2.0
Hidalgo,"Tezontepec de 
Aldama",2.0,2.0,0.0,0.0
Jalisco,Guadalajara,1.0,1.0,0.0,0.0
Jalisco,"San Pedro 
Tlaquepaque",5.0,2.0,0.0,3.0
Michoacán,Apatzingán,2.0,1.0,0.0,1.0
Michoacán,Morelia,1.0,1.0,0.0,0.0
Michoacán,Uruapan,6.0,2.0,0.0,4.0
Morelos,Cuernavaca,7.0,7.0,0.0,0.0
Morelos,Puente de Ixtla,1.0,1.0,0.0,0.0
Morelos,Tetecala,4.0,4.0,0.0,0.0
Ciudad de México,Huehuetoca,3.0,2.0,1.0,0.0
Nuevo León,García,1.0,0.0,1.0,0.0
Nuevo León,Gral. Escobedo,1.0,0.0,1.0,0.0
Nuevo León,Monterrey,4.0,2.0,2.0,0.0
Oaxaca,"Santiago 
Jamiltepec",1.0,1.0,0.0,0.0
Puebla,Huauchinango,1.0,1.0,0.0,0.0
Quintana Roo,Benito Juárez,2.0,2.0,0.0,0.0
Quintana Roo,Solidaridad,1.0,1.0,0.0,0.0
Sonora,Cajeme,4.0,2.0,0.0,2.0
Sonora,Empalme,1.0,1.0,0.0,0.0
Sonora,Hermosillo,1.0,1.0,0.0,0.0
Tabasco,Centro,2.0,2.0,0.0,0.0
Tabasco,Comalcalco,2.0,2.0,0.0,0.0
Tabasco,Huimanguillo,1.0,1.0,0.0,0.0
Veracruz,Agua Dulce,3.0,2.0,1.0,0.0
Veracruz,Tierra Blanca,1.0,0.0,1.0,0.0
Zacatecas,Fresnillo,2.0,0.0,0.0,2.0
