Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado
Baja California,Tijuana,4,3.0,0.0,1.0
Chiapas,Tapachula,1,1.0,0.0,0.0
Chihuahua,Juárez,3,3.0,0.0,0.0
Ciudad de México,Azcapotzalco,1,1.0,0.0,0.0
Colima,Armería,1,1.0,0.0,0.0
Colima,Colima,1,1.0,0.0,0.0
Colima,Cuauhtémoc,2,1.0,1.0,0.0
Colima,Manzanillo,3,1.0,2.0,0.0
Colima,Tecomán,1,0.0,1.0,0.0
Durango,Durango,1,1.0,0.0,0.0
Guanajuato,Celaya,1,1.0,0.0,0.0
Guanajuato,Pénjamo,1,1.0,0.0,0.0
Guanajuato,Salamanca,1,1.0,0.0,0.0
Guanajuato,"Santa Cruz de 
Juventino Rosas",1,1.0,0.0,0.0
Guanajuato,"Santiago 
Maravatío",1,1.0,0.0,0.0
Guanajuato,Yuriria,1,1.0,0.0,0.0
Guerrero,"Acapulco de 
Juárez",1,1.0,0.0,0.0
Guerrero,"Chilpancingo de 
los Bravo",1,1.0,0.0,0.0
Guerrero,Eduardo Neri,1,1.0,0.0,0.0
Jalisco,Zapopan,3,0.0,0.0,3.0
Michoacán,Zamora,1,1.0,0.0,0.0
Morelos,Cuernavaca,1,1.0,0.0,0.0
Ciudad de México,Acolman,1,1.0,0.0,0.0
Oaxaca,"San Sebastián 
Tutla",1,1.0,0.0,0.0
Querétaro,El Marqués,1,1.0,0.0,0.0
Quintana Roo,Benito Juárez,2,1.0,0.0,2.0
Quintana Roo,Solidaridad,1,1.0,0.0,0.0
Sinaloa,Culiacán,1,0.0,1.0,0.0
Sinaloa,El Fuerte,1,1.0,0.0,0.0
Sinaloa,Mazatlán,1,0.0,0.0,1.0
Tabasco,Centro,2,1.0,1.0,0.0
Tamaulipas,Méndez,1,1.0,0.0,0.0
Veracruz,"Juan Rodríguez 
Clara",2,2.0,0.0,0.0
Zacatecas,Fresnillo,2,2.0,0.0,0.0
Zacatecas,Miguel Auza,1,1.0,0.0,0.0
Zacatecas,Zacatecas,1,1.0,0.0,0.0
