Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado
Aguascalientes,Aguascalientes,1.0,1.0,0.0,0.0
Baja California,Tijuana,4.0,2.0,2.0,0.0
Chiapas,Suchiate,1.0,0.0,0.0,1.0
Chihuahua,Juárez,4.0,2.0,2.0,0.0
Chihuahua,Madera,2.0,0.0,0.0,2.0
Ciudad de México,Iztapalapa,1.0,1.0,0.0,0.0
Ciudad de México,Miguel Hidalgo,1.0,1.0,0.0,0.0
Guanajuato,Celaya,2.0,2.0,0.0,0.0
Guanajuato,León,1.0,1.0,0.0,0.0
Guanajuato,Pénjamo,1.0,1.0,0.0,0.0
Guanajuato,Salamanca,1.0,1.0,0.0,0.0
Guerrero,"Acapulco de 
Juárez",3.0,3.0,0.0,0.0
Guerrero,"Chilpancingo de 
los Bravo",1.0,1.0,0.0,0.0
Hidalgo,"Cuautepec de 
Hinojosa",4.0,3.0,1.0,0.0
Jalisco,Amatitán,3.0,3.0,0.0,0.0
Jalisco,"Lagos de 
Moreno",4.0,4.0,0.0,0.0
Jalisco,"San Pedro 
Tlaquepaque",1.0,1.0,0.0,0.0
Michoacán,Tangamandapio,1.0,1.0,0.0,0.0
Michoacán,Uruapan,2.0,2.0,0.0,0.0
Michoacán,Zamora,3.0,3.0,0.0,0.0
Morelos,Amacuzac,1.0,1.0,0.0,0.0
Morelos,Emiliano Zapata,1.0,1.0,0.0,0.0
Morelos,Jiutepec,1.0,1.0,0.0,0.0
Ciudad de México,Nezahualcóyotl,1.0,1.0,0.0,0.0
Nayarit,Tepic,1.0,1.0,0.0,0.0
Nuevo León,Guadalupe,2.0,2.0,0.0,0.0
Nuevo León,Monterrey,1.0,0.0,1.0,0.0
Puebla,Amozoc,1.0,1.0,0.0,0.0
Querétaro,Querétaro,1.0,1.0,0.0,0.0
Quintana Roo,Benito Juárez,2.0,2.0,0.0,0.0
San Luis Potosí,Rioverde,1.0,1.0,0.0,0.0
Sinaloa,Ahome,2.0,1.0,1.0,0.0
Sinaloa,Culiacán,1.0,1.0,0.0,0.0
Sonora,Cajeme,1.0,0.0,1.0,0.0
Sonora,Hermosillo,4.0,3.0,1.0,0.0
Tabasco,Centro,3.0,3.0,0.0,0.0
Veracruz,Altotonga,1.0,1.0,0.0,0.0
Veracruz,Catemaco,1.0,1.0,0.0,0.0
Veracruz,Espinal,1.0,1.0,0.0,0.0
Veracruz,La Perla,1.0,1.0,0.0,0.0
Veracruz,Xalapa,5.0,5.0,0.0,0.0
Zacatecas,Calera,1.0,1.0,0.0,0.0
