Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado
Baja California,Tijuana,9,7.0,1.0,1.0
Baja California Sur,Comondú,1,1.0,0.0,0.0
Campeche,Campeche,1,1.0,0.0,0.0
Chiapas,Chamula,1,0.0,1.0,0.0
Chihuahua,Chihuahua,2,2.0,0.0,0.0
Chihuahua,Juárez,4,4.0,0.0,0.0
Ciudad de México,Iztapalapa,2,1.0,1.0,0.0
Coahuila,Matamoros,1,1.0,0.0,0.0
Colima,Coquimatlán,2,2.0,0.0,0.0
Colima,Manzanillo,1,1.0,0.0,0.0
Colima,Tecomán,1,1.0,0.0,0.0
Guanajuato,Apaseo el Alto,2,1.0,0.0,1.0
Guanajuato,Irapuato,2,0.0,0.0,2.0
Guanajuato,León,3,2.0,1.0,0.0
Guanajuato,"Purísima del 
Rincón",1,1.0,0.0,0.0
Guanajuato,Salamanca,2,2.0,0.0,0.0
Guanajuato,Salvatierra,1,0.0,1.0,0.0
Guanajuato,"San Francisco 
del Rincón",1,1.0,0.0,0.0
Guanajuato,Yuriria,1,1.0,0.0,0.0
Guerrero,Eduardo Neri,1,1.0,0.0,0.0
Hidalgo,"Nopala de 
Villagrán",1,1.0,0.0,0.0
Jalisco,El Salto,1,1.0,0.0,0.0
Jalisco,Guadalajara,1,0.0,0.0,1.0
Jalisco,Puerto Vallarta,2,2.0,0.0,0.0
Jalisco,"San Pedro 
Tlaquepaque",1,1.0,0.0,0.0
Jalisco,"Tlajomulco de 
Zúñiga",1,1.0,0.0,0.0
Jalisco,Zapopan,3,1.0,2.0,0.0
Michoacán,Jacona,1,0.0,0.0,1.0
Ciudad de México,Nezahualcóyotl,2,2.0,0.0,0.0
Ciudad de México,Nicolás Romero,1,1.0,0.0,0.0
Ciudad de México,"Tlalnepantla de 
Baz",1,1.0,0.0,0.0
Nuevo León,Salinas Victoria,1,1.0,0.0,0.0
Puebla,Altepexi,2,1.0,0.0,1.0
Puebla,Atlixco,1,1.0,0.0,0.0
Puebla,"Chalchicomula 
de Sesma",1,1.0,0.0,0.0
Puebla,"Francisco Z. 
Mena",1,1.0,0.0,0.0
Puebla,"San Pedro 
Cholula",1,1.0,0.0,0.0
Querétaro,Querétaro,1,1.0,0.0,0.0
Quintana Roo,Solidaridad,1,1.0,0.0,0.0
Sinaloa,Ahome,3,0.0,0.0,3.0
Sinaloa,Mocorito,1,1.0,0.0,0.0
Sinaloa,San Ignacio,1,1.0,0.0,0.0
Sonora,Hermosillo,1,0.0,0.0,1.0
Tabasco,Huimanguillo,1,1.0,0.0,0.0
Tabasco,Nacajuca,2,2.0,0.0,0.0
Tamaulipas,Reynosa,1,0.0,1.0,0.0
Veracruz,Acayucan,1,1.0,0.0,0.0
Veracruz,Alvarado,1,1.0,0.0,0.0
Veracruz,Cosoleacaque,1,1.0,0.0,0.0
Veracruz,"Gutiérrez 
Zamora",1,1.0,0.0,0.0
Veracruz,Minatitlán,1,1.0,0.0,0.0
Zacatecas,Calera,2,2.0,0.0,0.0
