Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado
Baja California,Tecate,1.0,1.0,0.0,0.0
Baja California,Tijuana,5.0,4.0,0.0,1.0
Chiapas,Acacoyagua,1.0,1.0,0.0,0.0
Chihuahua,Chihuahua,1.0,0.0,1.0,0.0
Chihuahua,Cuauhtémoc,1.0,1.0,0.0,0.0
Chihuahua,Juárez,3.0,3.0,0.0,0.0
Ciudad de México,"Gustavo A. 
Madero",1.0,0.0,1.0,0.0
Ciudad de México,Álvaro Obregón,1.0,1.0,0.0,0.0
Coahuila,Torreón,1.0,1.0,0.0,0.0
Colima,Manzanillo,1.0,1.0,0.0,0.0
Guanajuato,"Apaseo el 
Grande",3.0,0.0,0.0,3.0
Guanajuato,Celaya,1.0,1.0,0.0,0.0
Guanajuato,Guanajuato,1.0,1.0,0.0,0.0
Guanajuato,León,5.0,4.0,1.0,0.0
Guanajuato,"Purísima del 
Rincón",1.0,1.0,0.0,0.0
Guanajuato,Pénjamo,1.0,1.0,0.0,0.0
Guanajuato,Salamanca,5.0,5.0,0.0,0.0
Guanajuato,"San Francisco 
del Rincón",1.0,1.0,0.0,0.0
Guanajuato,"Valle de 
Santiago",1.0,1.0,0.0,0.0
Guerrero,Petatlán,1.0,1.0,0.0,0.0
Guerrero,San Luis Acatlán,1.0,1.0,0.0,0.0
Jalisco,"Tlajomulco de 
Zúñiga",1.0,1.0,0.0,0.0
Michoacán,Jacona,1.0,1.0,0.0,0.0
Michoacán,Morelia,3.0,3.0,0.0,0.0
Michoacán,Puruándiro,1.0,1.0,0.0,0.0
Michoacán,Uruapan,4.0,1.0,0.0,3.0
Michoacán,Zamora,3.0,1.0,0.0,2.0
Morelos,Cuernavaca,1.0,1.0,0.0,0.0
Morelos,Tepoztlán,2.0,2.0,0.0,0.0
Ciudad de México,Lerma,2.0,2.0,0.0,0.0
Ciudad de México,"Naucalpan de 
Juárez",1.0,1.0,0.0,0.0
Ciudad de México,Nezahualcóyotl,2.0,2.0,0.0,0.0
Ciudad de México,Xonacatlán,2.0,2.0,0.0,0.0
Nuevo León,Apodaca,1.0,0.0,1.0,0.0
Nuevo León,Monterrey,1.0,1.0,0.0,0.0
Oaxaca,Salina Cruz,1.0,1.0,0.0,0.0
Puebla,Puebla,1.0,0.0,0.0,1.0
Sinaloa,Culiacán,2.0,0.0,1.0,1.0
Sonora,Cajeme,2.0,2.0,0.0,0.0
Sonora,Guaymas,1.0,0.0,0.0,1.0
Tabasco,Huimanguillo,1.0,1.0,0.0,0.0
Veracruz,Córdoba,1.0,1.0,0.0,0.0
Veracruz,"Poza Rica de 
Hidalgo",1.0,1.0,0.0,0.0
Zacatecas,Calera,1.0,1.0,0.0,0.0
Zacatecas,Fresnillo,4.0,1.0,3.0,0.0
Zacatecas,Guadalupe,1.0,1.0,0.0,0.0
