Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado
Baja California,Tijuana,11.0,7.0,1.0,3.0
Chiapas,Chamula,1.0,0.0,1.0,0.0
Chiapas,Las Margaritas,2.0,1.0,1.0,0.0
Chihuahua,Bocoyna,1.0,1.0,0.0,0.0
Chihuahua,Juárez,3.0,3.0,0.0,0.0
Ciudad de México,Benito Juárez,1.0,0.0,1.0,0.0
Ciudad de México,Iztacalco,2.0,2.0,0.0,0.0
Ciudad de México,Iztapalapa,3.0,3.0,0.0,0.0
Ciudad de México,Miguel Hidalgo,1.0,1.0,0.0,0.0
Coahuila,Monclova,1.0,1.0,0.0,0.0
Colima,Manzanillo,1.0,1.0,0.0,0.0
Guanajuato,Apaseo el Alto,1.0,1.0,0.0,0.0
Guanajuato,Celaya,1.0,1.0,0.0,0.0
Guanajuato,Salamanca,2.0,1.0,1.0,0.0
Guerrero,Alarcón,1.0,1.0,0.0,0.0
Guerrero,"Chilpancingo de 
los Bravo",1.0,1.0,0.0,0.0
Guerrero,Taxco de,1.0,1.0,0.0,0.0
Jalisco,Guadalajara,1.0,0.0,1.0,0.0
Jalisco,Juanacatlán,1.0,1.0,0.0,0.0
Jalisco,Poncitlán,1.0,0.0,1.0,0.0
Jalisco,Tonila,1.0,1.0,0.0,0.0
Michoacán,Tzintzuntzan,1.0,1.0,0.0,0.0
Michoacán,Zinapécuaro,2.0,2.0,0.0,0.0
Morelos,Cuautla,1.0,1.0,0.0,0.0
Morelos,Jiutepec,1.0,1.0,0.0,0.0
Morelos,Mazatepec,1.0,1.0,0.0,0.0
Morelos,Xochitepec,1.0,1.0,0.0,0.0
Nuevo León,García,4.0,4.0,0.0,0.0
Nuevo León,Guadalupe,1.0,1.0,0.0,0.0
Nuevo León,"San Nicolás de 
los Garza",1.0,1.0,0.0,0.0
Oaxaca,"Heroica Ciudad 
de Juchitán de 
Zaragoza",1.0,1.0,0.0,0.0
Oaxaca,Villa de Zaachila,1.0,1.0,0.0,0.0
Puebla,Ahuatlán,1.0,1.0,0.0,0.0
Puebla,Puebla,2.0,2.0,0.0,0.0
Quintana Roo,Benito Juárez,1.0,1.0,0.0,0.0
Quintana Roo,Isla Mujeres,1.0,1.0,0.0,0.0
Quintana Roo,Tulum,1.0,1.0,0.0,0.0
San Luis Potosí,San Luis Potosí,2.0,2.0,0.0,0.0
Sinaloa,Rosario,1.0,1.0,0.0,0.0
Tabasco,Centro,5.0,0.0,0.0,5.0
Tamaulipas,Miguel Alemán,3.0,3.0,0.0,0.0
Tlaxcala,Calpulalpan,1.0,0.0,0.0,1.0
Tlaxcala,Natívitas,1.0,1.0,0.0,0.0
Tlaxcala,Tetlatlahuca,1.0,1.0,0.0,0.0
Tlaxcala,Xicohtzinco,1.0,1.0,0.0,0.0
Veracruz,Coatzacoalcos,1.0,1.0,0.0,0.0
Veracruz,"Martínez de la 
Torre",1.0,0.0,1.0,0.0
Veracruz,Mecayapan,1.0,0.0,1.0,0.0
Zacatecas,Miguel Auza,1.0,1.0,0.0,0.0
